term_str,term_id,n,num,pos_max,stop,p_stem,term_code,p,s,i,h,wlen,term_rank,zipf_k,zipf_y,df,idf,tfidf_sum_text_max,tfidf_sum_secs_max,tfidf_sum_paras_max
this,7358,891,0,DT,1,thi,this/DT,0.006779996347476715,147.49270482603816,7.204499788509708,0.04884648225149259,4,20,17820,456.37700000000007,558,2.3460291234451716,0.0,2.042234180668021,388.609726623676
will,8005,868,0,MD,1,will,will/MD,0.006604979606744993,151.40092165898616,7.2422301775871505,0.0478347826303163,4,21,18228,434.64476190476194,527,2.4284912836371446,0.0,1.4859462736891202,447.6197029741398
us,7745,717,0,PRP,0,us,us/PRP,0.005455956656723686,183.28591352859135,7.517952101329725,0.04101762081217974,2,22,15774,414.88818181818186,436,2.7019661104974326,0.0,3.85227757892144,354.2532354872961
people,5360,683,0,NNS,0,peopl,people/NNS,0.005197236257381141,192.4099560761347,7.58803964174154,0.03943683474850453,6,23,15709,396.84956521739133,429,2.7253165977748135,0.0,1.7098872570307702,345.8872033727842
i,3675,661,0,PRP,1,i,i/PRP,0.005029828940159494,198.81391830559758,7.635274948523938,0.038404126902160496,1,24,15864,380.3141666666667,325,3.125854527358542,0.0,8.024289132484004,418.8744498083125
as,638,647,0,IN,1,as,as/IN,0.004923297011018445,203.1159196290572,7.666159508039122,0.03774278019191964,2,25,16175,365.1016,425,2.7388314042492947,0.0,2.3649578303409697,332.0568614716936
or,5153,641,0,CC,1,or,or/CC,0.004877640469957996,205.01716068642745,7.679600863412889,0.037458331964507076,2,26,16666,351.0592307692308,429,2.7253165977748135,0.0,2.9598715616086917,330.67093346143747
but,1086,633,0,CC,1,but,but/CC,0.004816765081877397,207.608214849921,7.697719720603289,0.03707810756028095,3,27,17091,338.05703703703705,449,2.659578800533212,0.0,2.927208793957424,302.2621652898061
from,3143,625,0,IN,1,from,from/IN,0.004755889693796798,210.2656,7.71606903048218,0.03669677317869485,4,28,17500,325.98357142857145,461,2.621527494845021,0.0,0.8372019461390676,376.29402145235355
there,7333,609,0,EX,1,there,there/EX,0.0046341389176356,215.7898193760263,7.7534829921252975,0.03593071728103356,5,29,17661,314.7427586206897,414,2.776663477775034,0.0,3.241337072689011,330.29101094413625
who,7983,597,0,WP,1,who,who/WP,0.004542825835514701,220.12730318257957,7.782194288766825,0.03535315327200489,3,30,17910,304.2513333333334,360,2.9782973389446843,0.0,2.6723604798826823,294.06280558520444
what,7964,590,0,WP,1,what,what/WP,0.004489559870944178,222.73898305084745,7.799210265782427,0.035015021434312656,4,31,18290,294.4367741935484,417,2.7662468618296954,0.0,2.918446221579088,362.0074005654601
was,7911,582,0,VBD,1,wa,was/VBD,0.0044286844828635786,225.80068728522335,7.818906067123346,0.03462746797243705,3,32,18624,285.235625,297,3.255831314473593,0.0,4.062941884984465,294.36112235615917
on,5107,565,0,IN,1,on,on/IN,0.004299324283192306,232.5946902654867,7.8616743527290796,0.033799887451238284,2,33,18645,276.59212121212124,425,2.7388314042492947,0.0,1.8224156892395487,345.12362149332426
all,405,558,0,DT,1,all,all/DT,0.004246058318621781,235.51254480286738,7.879660098202443,0.0334574963078846,3,34,18972,268.45705882352945,422,2.749051246567174,0.0,1.2853728212740216,345.8640122438265
their,7320,513,0,PRP$,1,their,their/PRP$,0.0039036342606684118,256.17153996101365,8.000966394424577,0.03123284653573239,5,35,17955,260.7868571428572,342,3.052297920388461,0.0,2.1015871578277654,307.8971324718034
by,1091,509,0,IN,1,by,by/IN,0.0038731965666281122,258.1846758349705,8.012259563955935,0.031033056234047382,2,36,18324,253.54277777777781,374,2.923255975386722,0.0,1.7180320649082328,283.7387241011966
if,3699,486,0,IN,1,if,if/IN,0.00369817982589639,270.40329218106996,8.07896890642585,0.029877479823788296,2,37,17982,246.6902702702703,336,3.077833012495599,0.0,2.345970981087755,287.19316710963403
government,3293,459,0,NN,0,govern,government/NN,0.0034927253911243685,286.30936819172115,8.161431066617823,0.028505637514287308,10,38,17442,240.1984210526316,336,3.077833012495599,0.0,2.308574540421208,260.17251093724275
no,4960,429,0,DT,1,no,no/DT,0.003264442685822122,306.33100233100237,8.258947572532085,0.026960860995740733,2,39,16731,234.0394871794872,319,3.1527378215094894,0.0,2.328458510529727,324.95908403655346
ezln,2832,417,0,NNP,0,ezln,ezln/NNP,0.003173129603701224,315.1462829736211,8.299877836586967,0.026336588070377774,4,40,16680,228.18850000000003,339,3.065008972138015,0.0,1.2148744446625968,277.4893837947613
them,7323,400,0,PRP,1,them,them/PRP,0.0030437694040299505,328.54,8.359925220256905,0.025445684605396313,4,41,16400,222.62292682926832,267,3.409454503586805,0.0,2.296326808884421,246.1727649953751
he,3468,395,0,PRP,1,he,he/PRP,0.0030057222864795763,332.69873417721516,8.378072566967164,0.02518215943227636,2,42,16590,217.32238095238097,211,3.749051246567174,0.0,4.10180678104089,354.6200004005596
because,832,382,0,IN,1,becaus,because/IN,0.002906799780848603,344.0209424083769,8.42635258199588,0.024493719838698687,7,43,16426,212.2683720930233,285,3.3153323262222547,0.0,2.842126348055624,220.63905735259897
do,2340,379,0,VBP,1,do,do/VBP,0.002883971510318378,346.7440633245383,8.437727371860538,0.024334165352279356,2,44,16676,207.44409090909093,281,3.335724115053433,0.0,2.7662270648470146,326.29307381467567
were,7960,378,0,VBD,1,were,were/VBD,0.0028763620868083035,347.66137566137564,8.441538985810558,0.024280922693099706,4,45,17010,202.83422222222225,253,3.4871568605800487,0.0,3.125123435735592,251.29514242833247
one,5109,372,0,CD,0,one,one/CD,0.0028307055457478542,353.26881720430106,8.464622598923599,0.023960854133435648,3,46,17112,198.42478260869566,260,3.4477826222459043,0.0,2.3892069536040936,223.41518464040485
so,6785,346,0,RB,1,so,so/RB,0.0026328605344859072,379.81502890173414,8.569153182394906,0.022561385227891865,2,47,16262,194.20297872340427,260,3.4477826222459043,0.0,2.125488802968415,225.83578207499767
indigenous,3824,346,0,NNP,0,indigen,indigenous/NNP,0.0026328605344859072,379.81502890173414,8.569153182394906,0.022561385227891865,10,48,16608,190.15708333333336,284,3.320403315769677,0.0,2.382062768785958,292.75960892681763
has,3456,339,0,VBZ,1,ha,has/VBZ,0.0025795945699153833,387.65781710914456,8.598639946895286,0.02218100491566858,3,49,16611,186.27632653061227,268,3.4040612448165866,0.0,2.383053219959647,238.3751720925535
at,687,331,0,IN,1,at,at/IN,0.002518719181834784,397.02719033232626,8.633094003224413,0.021744339464504173,2,50,16550,182.5508,259,3.4533421475878048,0.0,1.6272108886831353,206.90006004094886
national,4878,324,0,JJ,0,nation,national/JJ,0.0024654532172642602,405.6049382716049,8.663931407147006,0.021360517561907454,8,51,16524,178.97137254901963,267,3.409454503586805,0.0,1.3789626280337532,283.616018393732
its,4050,318,0,PRP$,1,it,its/PRP$,0.002419796676203811,413.2578616352201,8.690898454747275,0.021030207194022293,3,52,16536,175.5296153846154,239,3.5692836272936104,0.0,1.8033397161817988,242.61213327327096
army,611,314,0,NNP,0,armi,army/NNP,0.0023893589821635114,418.5222929936306,8.709160661140004,0.020809311252799972,4,53,16642,172.21773584905662,252,3.4928705117744423,0.0,2.222774287917496,261.8812334843612
an,462,311,0,DT,1,an,an/DT,0.0023665307116332865,422.5594855305466,8.723010639901027,0.020643272577229706,2,54,16794,169.02851851851852,248,3.5159541248874837,0.0,2.015360637612604,218.01773040549625
when,7968,309,0,WRB,1,when,when/WRB,0.0023513118646131368,425.2944983818771,8.732318382127255,0.020532403817475207,4,55,16995,165.95527272727276,216,3.7152629331108904,0.0,2.170525717363461,180.05796451288174
say,6462,308,0,VBP,0,say,say/VBP,0.002343702441103062,426.67532467532465,8.736994869336728,0.02047691620316942,3,56,17248,162.99178571428573,229,3.630946647177415,0.0,2.4944770691574094,213.48888242223126
would,8072,286,0,MD,0,would,would/MD,0.0021762951238814146,459.4965034965035,8.843910073253241,0.01924695836846675,5,57,16302,160.1322807017544,200,3.8262942454996343,0.0,2.0508075814660325,193.04037442860445
those,7359,286,0,DT,1,those,those/DT,0.0021762951238814146,459.4965034965035,8.843910073253241,0.01924695836846675,5,58,16588,157.37137931034485,196,3.8554405911591507,0.0,1.8901106333403972,195.87480954192816
other,5182,283,0,JJ,1,other,other/JJ,0.00215346685335119,464.36749116607774,8.859123167199748,0.01907782809032027,5,59,16697,154.7040677966102,231,3.6184013938583015,0.0,1.9511387043497532,178.0226955450779
can,1141,274,0,MD,1,can,can/MD,0.002084982041760516,479.6204379562044,8.905749327071103,0.01856832741536405,3,60,16440,152.1256666666667,222,3.675734568924253,0.0,1.8924515648556153,208.98315737771986
about,174,271,0,IN,1,about,about/IN,0.0020621537712302916,484.929889298893,8.92163236867776,0.01839777783459908,5,61,16531,149.63180327868855,221,3.6822478758829273,0.0,2.0826865237285035,233.1739091589757
mexican,4658,267,0,NNP,0,mexican,mexican/NNP,0.002031716077189992,492.1947565543071,8.943085478344075,0.01816981054603601,7,62,16554,147.2183870967742,239,3.5692836272936104,0.0,1.1907517943514252,248.5086233115855
dont,2369,259,0,VBP,0,dont,dont/VBP,0.001970840689109393,507.3976833976834,8.986973122345077,0.017711892301450163,4,63,16317,144.8815873015873,199,3.8335258147307103,0.0,2.7272587527587557,235.63258557868912
now,4998,259,0,RB,1,now,now/RB,0.001970840689109393,507.3976833976834,8.986973122345077,0.017711892301450163,3,64,16576,142.6178125,202,3.811938952522564,0.0,2.2776530956326315,185.47609849092603
want,7895,252,0,VBP,0,want,want/VBP,0.001917574724538869,521.4920634920635,9.026501486531714,0.017308991101585743,4,65,16380,140.42369230769233,178,3.994417004307961,0.0,2.293210383843011,194.85599334582818
out,5190,248,0,RP,1,out,out/RP,0.0018871370304985695,529.9032258064516,9.049585099644755,0.017077807152187704,3,66,16368,138.29606060606062,200,3.8262942454996343,0.0,1.7211917240898598,159.99425103345575
only,5114,241,0,RB,1,onli,only/RB,0.0018338710659280453,545.2946058091286,9.090892073801669,0.016671523937619486,4,67,16147,136.23194029850748,195,3.862820121524748,0.0,1.5597108964905468,151.60184966781972
which,7976,240,0,WDT,1,which,which/WDT,0.0018262616424179704,547.5666666666667,9.096890814423112,0.0166133027596453,5,68,16320,134.22852941176473,194,3.8702375930872313,0.0,1.9210600608686912,171.93363318573768
up,7725,240,0,RP,1,up,up/RP,0.0018262616424179704,547.5666666666667,9.096890814423112,0.0166133027596453,2,69,16560,132.28318840579712,201,3.8190987440954305,0.0,2.0196097023881476,164.0379848683019
like,4334,237,0,IN,0,like,like/IN,0.0018034333718877458,554.4978902953586,9.115038161133372,0.016438364005818235,4,70,16590,130.3934285714286,184,3.946588479217346,0.0,2.21603933445298,186.09511477655477
political,5516,235,0,JJ,0,polit,political/JJ,0.001788214524867596,559.2170212765958,9.12726446346663,0.016321506885878873,9,71,16685,128.55690140845073,188,3.9155615835967215,0.0,2.4917979511085364,190.91244796025373
your,8113,234,0,PRP$,1,your,your/PRP$,0.0017806051013575211,561.6068376068376,9.133416690448225,0.01626300835183604,4,72,16848,126.77138888888891,161,4.139233557159742,0.0,3.4581703387856986,254.3616513049919
these,7337,230,0,DT,1,these,these/DT,0.0017501674073172216,571.3739130434783,9.158291359087254,0.016028543043389454,5,73,16790,125.03479452054796,192,3.8851879345532025,0.0,1.5066615922352085,168.72370761513687
going,3274,223,0,VBG,0,go,going/VBG,0.0016969014427466976,589.3094170403588,9.202881510111325,0.015616382911934816,5,74,16502,123.34513513513515,163,4.121422281043281,0.033038003284153704,2.5402345615628055,172.91579331252782
struggle,7048,223,0,NN,0,struggl,struggle/NN,0.0016969014427466976,589.3094170403588,9.202881510111325,0.015616382911934816,8,75,16725,121.70053333333334,178,3.994417004307961,0.0,2.3363042637839446,181.20043297920512
well,7957,214,0,RB,0,well,well/RB,0.0016284166311560236,614.0934579439253,9.262314423630484,0.015082906850436199,4,76,16264,120.0992105263158,191,3.8927216072386104,0.0,1.9136846355498738,173.9877410419912
peace,5337,213,0,NN,0,peac,peace/NN,0.0016208072076459488,616.9765258215963,9.269071789805793,0.015023378365104964,5,77,16401,118.53948051948053,159,4.157267479990003,0.0,2.7544582667370223,186.22486662250088
been,838,211,0,VBN,1,been,been/VBN,0.001605588360625799,622.824644549763,9.282682221324444,0.014904166529946566,4,78,16458,117.0197435897436,179,3.9863346580101027,0.0,1.7937158239915958,188.16983225152012
had,3399,209,0,VBD,1,had,had/VBD,0.0015903695136056492,628.7846889952153,9.296422277950747,0.01478474657645725,3,79,16511,115.53848101265824,151,4.23174569594928,0.0,2.081459870973845,129.4691385403555
women,8037,207,0,NNS,0,women,women/NNS,0.0015751506665854995,634.8599033816425,9.310294452532306,0.014665116513013539,5,80,16560,114.09425000000002,124,4.515954124887483,0.02774457140934841,2.8283828324379257,184.45419982612327
war,7899,206,0,NN,0,war,war/NN,0.0015675412430754246,637.9417475728155,9.317280882848411,0.014605222057183087,3,81,16686,112.68567901234569,168,4.077833012495598,0.0,1.9677297959071454,178.81809509840735
zapatista,8127,205,0,NNP,0,zapatista,zapatista/NNP,0.0015599318195653497,641.0536585365854,9.324301310526184,0.014545274309504686,9,82,16810,111.31146341463416,186,3.9309916241663276,0.0,1.8638146345853386,210.864310035926
then,7327,205,0,RB,1,then,then/RB,0.0015599318195653497,641.0536585365854,9.324301310526184,0.014545274309504686,4,83,17015,109.97036144578314,161,4.139233557159742,0.0,2.0009657281134734,142.24223461693063
federal,2912,203,0,JJ,0,feder,federal/JJ,0.0015447129725452,647.3694581280788,9.338445492846454,0.014425217896206169,7,84,17052,108.66119047619048,162,4.130300432389734,0.0,2.522208418473598,143.80269963742427
how,3629,197,0,WRB,1,how,how/WRB,0.0014990564314847506,667.0862944162437,9.381729590575254,0.014063742081202632,3,85,16745,107.38282352941178,157,4.175529686382732,0.0,2.6332184714181666,243.05137784315357
mexico,4662,191,0,NNP,0,mexico,mexico/NNP,0.0014533998904243015,688.0418848167538,9.42635258199588,0.013700259809773645,6,86,16426,106.13418604651164,159,4.157267479990003,0.0,1.6323539932866282,191.77142285476273
know,4172,190,0,VBP,0,know,know/VBP,0.0014457904669142266,691.6631578947369,9.433925801700683,0.013639479989675001,4,87,16530,104.91425287356323,154,4.203363894579457,0.0,2.1295779035650555,156.99266396119435
country,1826,189,0,NN,0,countri,country/NN,0.0014381810434041518,695.3227513227513,9.441538985810558,0.013578642389954005,7,88,16632,103.72204545454547,139,4.3512093625508514,0.0,2.1750853886414525,141.18597040272132
any,528,186,0,DT,1,ani,any/DT,0.0014153527728739271,706.5376344086021,9.464622598923599,0.01339577983959175,3,89,16554,102.55662921348316,156,4.18474821641211,0.0,1.6655387220988767,168.4770897966439
just,4124,186,0,RB,1,just,just/RB,0.0014153527728739271,706.5376344086021,9.464622598923599,0.01339577983959175,4,90,16740,101.41711111111113,163,4.121422281043281,0.0,1.6342564475264645,138.03261475827756
more,4782,185,0,JJR,1,more,more/JJR,0.0014077433493638522,710.3567567567568,9.472399949515317,0.013334708031444677,4,91,16835,100.30263736263737,143,4.310279098495969,0.0,2.020885950382303,167.0604010768997
revolutionary,6293,183,0,NNP,0,revolutionari,revolutionary/NNP,0.0013925245023437025,718.1202185792349,9.488081571747587,0.013212386068894263,13,92,16836,99.21239130434783,168,4.077833012495598,0.0,2.104562453978109,222.11041294285707
many,4509,181,0,JJ,0,mani,many/JJ,0.0013773056553235527,726.0552486187845,9.503935522948424,0.01308982414358727,4,93,16833,98.14559139784947,138,4.36162597849619,0.0,2.0439277777189138,162.126825851089
dialogue,2186,180,0,NN,0,dialogu,dialogue/NN,0.0013696962318134778,730.0888888888888,9.511928313701956,0.013028452368557498,8,94,16920,97.10148936170214,146,4.2803258763943415,0.0,3.0910101509916927,208.00048878407785
some,6822,177,0,DT,1,some,some/DT,0.0013468679612832532,742.4632768361582,9.536175859948633,0.01284396973892759,4,95,16815,96.07936842105264,150,4.241331744778478,0.0,1.6528383486925995,149.2283276271548
military,4677,177,0,JJ,0,militari,military/JJ,0.0013468679612832532,742.4632768361582,9.536175859948633,0.01284396973892759,8,96,16992,95.07854166666668,136,4.382687594024019,0.0,2.327473879090236,153.64027869485267
take,7210,176,0,VB,0,take,take/VB,0.0013392585377731783,746.6818181818182,9.544349791394334,0.012782351945618515,4,97,17072,94.09835051546392,152,4.222222921830774,0.0,1.4824186911549042,156.19766301323313
me,4587,172,0,PRP,1,me,me/PRP,0.0013088208437328787,764.046511627907,9.577516655329532,0.012535253429694098,2,98,16856,93.13816326530613,113,4.649971472859171,0.0,2.6273225044641246,151.1288970498948
said,6410,172,0,VBD,0,said,said/VBD,0.0013088208437328787,764.046511627907,9.577516655329532,0.012535253429694098,4,99,17028,92.19737373737375,142,4.320403315769677,0.0,2.254108295634696,166.55090557720237
first,3004,172,0,JJ,0,first,first/JJ,0.0013088208437328787,764.046511627907,9.577516655329532,0.012535253429694098,5,100,17200,91.2754,148,4.260697069645409,0.0,1.245207891632608,157.88897080142758
should,6666,168,0,MD,1,should,should/MD,0.0012783831496925792,782.2380952380953,9.61146398725287,0.012287133605181121,6,101,16968,90.37168316831684,130,4.447782622245905,0.0,1.611388786501858,122.10458474134983
justice,4125,167,0,NN,0,justic,justice/NN,0.0012707737261825043,786.9221556886229,9.620077117557578,0.01222494124484169,7,102,17034,89.48568627450982,151,4.23174569594928,0.0,2.1752683392373657,222.79806808896882
his,3552,166,0,PRP$,1,hi,his/PRP$,0.0012631643026724294,791.6626506024097,9.628741978684706,0.012162683147118016,3,103,17098,88.6168932038835,118,4.5875073859125175,0.0,2.183041458713873,174.22223804703847
way,7928,164,0,NN,0,way,way/NN,0.0012479454556522799,801.3170731707316,9.646229405413546,0.012037968150665228,3,104,17056,87.7648076923077,136,4.382687594024019,0.0,1.7663871730332645,129.967491091411
also,426,163,0,RB,0,also,also/RB,0.001240336032142205,806.2331288343557,9.655053255800553,0.011975510445421335,4,105,17115,86.9289523809524,150,4.241331744778478,0.0,1.445618957157554,137.8478868620998
q,5862,162,0,NNP,0,q,q/NNP,0.0012327266086321301,811.2098765432098,9.663931407147006,0.011912985389585858,1,106,17172,86.10886792452831,162,4.130300432389734,0.23187421932179852,2.9706297186980835,423.81123226528416
committee,1521,160,0,NNP,0,committe,committee/NNP,0.0012175077616119803,821.3499999999999,9.681853315144268,0.011787731557976829,9,107,17120,85.30411214953271,137,4.372118352313833,0.0,2.223724774960896,207.46882498315802
democracy,2076,157,0,NN,0,democraci,democracy/NN,0.0011946794910817557,837.0445859872611,9.709160661140004,0.011599335117481742,9,108,16956,84.51425925925926,138,4.36162597849619,0.0,1.7550707544999002,210.88523274272308
marcos,4521,156,0,NNP,0,marco,marcos/NNP,0.0011870700675716808,842.4102564102564,9.718379191169381,0.011536397043148653,6,109,17004,83.73889908256882,131,4.436727433736909,0.0,2.1664700904256984,326.4114886383867
without,8030,155,0,IN,0,without,without/IN,0.001179460644061606,847.8451612903226,9.727657004757393,0.011473388596041547,7,110,17050,82.97763636363638,121,4.5512871979997644,0.0,1.8519957601285941,124.79795728755292
very,7817,155,0,RB,1,veri,very/RB,0.001179460644061606,847.8451612903226,9.727657004757393,0.011473388596041547,4,111,17205,82.2300900900901,124,4.515954124887483,0.0,1.4290237887736341,130.29397143013227
chiapas,1328,155,0,NNP,0,chiapa,chiapas/NNP,0.001179460644061606,847.8451612903226,9.727657004757393,0.011473388596041547,7,112,17360,81.49589285714286,147,4.270478090437995,0.0,1.5783056947588738,180.7473197402597
1994,65,154,1,CD,0,1994,1994/CD,0.001171851220551531,853.3506493506493,9.736994869336728,0.01141030932213624,4,113,17402,80.77469026548674,150,4.241331744778478,0.0,1.1505684201873825,422.1474240686066
mountains,4807,154,0,NNS,0,mountain,mountains/NNS,0.001171851220551531,853.3506493506493,9.736994869336728,0.01141030932213624,9,114,17556,80.0661403508772,131,4.436727433736909,0.025900013021452926,1.4203726031696444,165.1202264344473
yes,8100,152,0,NN,0,ye,yes/NN,0.0011566323735313813,864.578947368421,9.755853896588045,0.011283936448236005,3,115,17480,79.36991304347826,132,4.425756315915906,0.0,1.7104241995421041,226.47804490212755
land,4199,151,0,NN,0,land,land/NN,0.0011490229500213064,870.3046357615895,9.765376670706551,0.011220641910244486,4,116,17516,78.68568965517242,100,4.826294245499635,0.0,2.328934426373982,129.89662224434065
here,3507,146,0,RB,1,here,here/RB,0.001110975832470932,900.1095890410959,9.813956851151612,0.010903068882541968,4,117,17082,78.0131623931624,120,4.56325983966584,0.0,1.8103749404436744,157.9835016896106
work,8051,144,0,NN,0,work,work/NN,0.0010957569854507822,912.6111111111112,9.833856408589318,0.010775516853631687,4,118,16992,77.3520338983051,121,4.5512871979997644,0.0,1.7680157818112805,128.53218138479275
companeros,1551,143,0,NN,0,companero,companeros/NN,0.0010881475619407073,918.993006993007,9.843910073253241,0.010711626746174084,10,119,17017,76.7020168067227,112,4.6627955132167545,0.01947987107662061,1.9648164451196048,127.31530810328772
see,6530,140,0,VB,0,see,see/VB,0.0010653192914104827,938.6857142857143,9.874498393086665,0.010519493631157036,3,120,16800,76.06283333333334,114,4.637260421109617,0.02026541839860469,1.7462450911072382,131.5072966081329
come,1490,139,0,VB,0,come,come/VB,0.0010577098679004078,945.4388489208634,9.884840337308123,0.010455293167390797,4,121,16819,75.43421487603307,121,4.5512871979997644,0.0,1.5631220586434331,146.24078834932695
general,3220,139,0,NNP,0,gener,general/NNP,0.0010577098679004078,945.4388489208634,9.884840337308123,0.010455293167390797,7,122,16958,74.81590163934428,125,4.504366150612272,0.0,2.0618844985169416,184.3188920385386
m,4447,139,0,NNP,1,m,m/NNP,0.0010577098679004078,945.4388489208634,9.884840337308123,0.010455293167390797,1,123,17097,74.20764227642277,137,4.372118352313833,0.07794767444100346,1.9058546379869399,254.50391313714587
right,6315,138,0,NN,0,right,right/NN,0.001050100444390333,952.2898550724639,9.895256953253462,0.010391013723967992,5,124,17112,73.6091935483871,125,4.504366150612272,0.0,1.6924079056119952,152.39336484411027
brothers,1047,136,0,NNS,0,brother,brothers/NNS,0.0010348815973701831,966.2941176470589,9.916318568781291,0.010262215600491991,8,125,17000,73.02032000000001,114,4.637260421109617,0.026296342522610032,3.2539323670996443,288.4562980591519
go,3264,136,0,VB,0,go,go/VB,0.0010348815973701831,966.2941176470589,9.916318568781291,0.010262215600491991,2,126,17136,72.44079365079365,115,4.624660384329983,0.0,1.6179125456669372,135.2084325428848
time,7392,135,0,NN,0,time,time/NN,0.0010272721738601085,973.4518518518518,9.926965812980798,0.010197695750535763,4,127,17145,71.8703937007874,116,4.612169440146787,0.0,1.5134904211113942,125.29125275327827
did,2196,134,0,VBD,1,did,did/VBD,0.0010196627503500336,980.7164179104477,9.937692219573858,0.01013309458074281,3,128,17152,71.30890625,108,4.715262933110891,0.0,1.8115635272399315,174.93484810255887
men,4628,134,0,NNS,0,men,men/NNS,0.0010196627503500336,980.7164179104477,9.937692219573858,0.01013309458074281,3,129,17286,70.75612403100776,93,4.930991624166327,0.0,2.043985105748112,98.95630040602974
freedom,3125,132,0,NN,0,freedom,freedom/NN,0.0010044439033298838,995.5757575757575,9.959387290673176,0.0100036458450178,7,130,17160,70.21184615384617,114,4.637260421109617,0.019695204664618948,1.993119788490374,191.52426699184068
even,2689,129,0,RB,0,even,even/RB,0.0009816156327996592,1018.7286821705426,9.992554154608376,0.009808847369760764,4,131,16899,69.67587786259543,119,4.575332671966415,0.0,1.5218136625057113,117.73190554765735
same,6427,129,0,JJ,1,same,same/JJ,0.0009816156327996592,1018.7286821705426,9.992554154608376,0.009808847369760764,4,132,17028,69.14803030303031,104,4.769710717133266,0.0,1.5604340601591005,92.39507915102149
demands,2074,129,0,NNS,0,demand,demands/NNS,0.0009816156327996592,1018.7286821705426,9.992554154608376,0.009808847369760764,7,133,17157,68.62812030075189,105,4.755904917608237,0.018115507705617633,1.9264933971158338,129.26257788120265
